years,data
1970,392.23325
1971,483.45029
1972,583.78903
1973,565.54562
1974,510.8154
1975,565.54562
1976,574.66732
1977,757.1014
1978,966.90058
1979,957.77887
1980,656.23194
1981,692.61918
1982,670.05095
1983,756.83558
1984,772.12578
1985,768.87209
1986,1066.40399
1987,1026.39405
1988,1048.75983
1989,401.44417
1990,136.47581
1991,142.84961
1992,129.10789
1993,134.22051
1994,158.94472
1995,182.30601
1996,80.27766
1997,92.04218
1998,119.68847
1999,123.90967
2000,119.84635
2001,354.93162
2002,253.7096
2003,255.83346
2004,267.62623
2005,273.00509
2006,543.62476
2007,584.31405
2008,575.70204
2009,578.8706
