years,data
1960,16459.98886
1961,14413.73441
1962,19602.90128
1963,18447.64583
1964,17013.57996
1965,17453.45192
1966,15202.1357
1967,13483.16055
1968,11221.48194
1969,11039.17387
1970,10131.47568
1971,10084.76133
1972,7898.38303
1973,7846.78142
1974,8092.19736
1975,6623.55788
1976,6411.47888
1977,6872.75048
1978,6454.46932
1979,5935.54178
1980,6380.28325
1981,6569.6305
1982,4558.61043
1983,3848.01054
1984,4859.37159
1985,6648.84286
1986,7770.93431
1987,5806.03751
1988,5112.00283
1989,4138.45701
1990,4229.69325
1991,3308.63765
1992,3955.0242
1993,3498.31771
1994,3902.49083
1995,3254.77604
1996,3154.86431
1997,3319.64178
1998,2799.32428
1999,4016.84782
2000,3072.69186
2001,2361.99807
2002,2690.41338
2003,2581.39445
2004,2442.96597
2005,2578.74864
2006,2495.48057
2007,2483.84584
2008,2111.81031
2009,1753.02058
