years,data
1970,0.385552746
1971,0.447632333
1972,0.579505515
1973,0.757485369
1974,1.275671779
1975,1.201211188
1976,1.793853339
1977,1.693344138
1978,2.02905
1979,2.0906
1980,1.276620699
1981,1.59237019
1982,1.721970285
1983,1.7087
1984,1.76957
1985,1.642427039
1986,1.514124883
1987,1.269244183
1988,1.313070611
1989,1.267971012
1990,1.136494743
1991,1.237254371
1992,1.268769747
1993,1.158370091
1994,1.262503283
1995,1.25399
1996,1.23792
1997,1.294702231
1998,1.480448962
1999,1.477408383
2000,1.262933935
2001,1.38109884
2002,1.275733666
2003,1.281191823
2004,1.418425543
2005,1.542909236
2006,1.888376342
2007,2.47464063
2008,2.788344575
2009,3.897619126
