years,data
1960,1066.63629
1961,774.15508
1962,826.55709
1963,768.38586
1964,1049.59586
1965,1145.68055
1966,1084.90011
1967,921.92861
1968,977.918
1969,940.61217
1970,1153.63516
1971,911.31315
1972,922.74056
1973,3153.90825
1974,3279.41052
1975,3720.6764
1976,3629.82126
1977,3161.12943
1978,3649.11936
1979,4473.30744
1980,3251.00838
1981,5221.80896
1982,4676.58779
1983,4193.96551
1984,5495.28653
1985,5198.95387
1986,4501.991
1987,4112.39401
1988,3755.058
1989,4287.813
1990,4167.426
1991,4208.261
1992,4235.177
1993,4673.15301
1994,5350.37514
1995,4254.753
1996,4807.69451
1997,4765.91248
1998,4436.22873
1999,4405.69393
2000,4502.55469
2001,4455.85865
2002,4111.96869
2003,4272.31067
2004,4159.36126
2005,4094.3957
2006,4101.86435
2007,1867.82696
2008,1817.15661
2009,846.81915
