years,data
1970,0.8592
1971,0.6815
1972,0.23376
1973,0.36018
1974,0.54651
1975,0.46447
1976,0.67048
1977,0.73386
1978,0.84708
1979,1.10387
1980,1.1935
1981,1.45714
1982,1.60241
1983,1.68376
1984,1.6802
1985,1.59349
1986,1.54645
1987,1.53731
1988,1.4653
1989,1.44052
1990,1.43835
1991,1.48654
1992,1.48082
1993,1.42127
1994,1.34478
1995,1.33313
1996,1.29217
1997,1.26093
1998,1.24926
1999,1.21108
2000,1.2288
2001,1.33483
2002,1.27599
2003,1.26214
2004,1.32058
2005,1.34542
2006,1.50535
2007,1.65473
2008,1.90476
2009,1.89361
