years,data
1970,137.46053
1971,162.47019
1972,205.11483
1973,292.79683
1974,520.0744
1975,542.58395
1976,599.32504
1977,751.22389
1978,834.87223
1979,1376.16154
1980,1993.21033
1981,2788.15884
1982,2613.10639
1983,2133.61068
1984,2003.00529
1985,2010.21153
1986,1664.98954
1987,1852.01104
1988,1789.7742
1989,2068.56514
1990,2261.92844
1991,2404.20824
1992,2615.20601
1993,2819.54597
1994,2895.3047
1995,2965.08981
1996,3526.32132
1997,3512.90397
1998,3303.38418
1999,3542.20604
2000,4889.13969
2001,5105.38605
2002,4888.01728
2003,5415.27659
2004,7349.19176
2005,10311.97656
2006,13008.9868
2007,14020.61284
2008,18386.37769
2009,10802.46789
