years,data
1970,4.35132
1971,5.18262
1972,7.93544
1973,10.29998
1974,18.8969
1975,20.82057
1976,28.56255
1977,54.71075
1978,63.75616
1979,119.46377
1980,103.0644
1981,167.4007
1982,204.60626
1983,319.46146
1984,253.46568
1985,242.16057
1986,84.00508
1987,122.10977
1988,76.4038
1989,67.94607
1990,72.36745
1991,63.08874
1992,61.68751
1993,50.11538
1994,52.46996
1995,64.68157
1996,77.84434
1997,66.80195
1998,65.11868
1999,71.99395
2000,226.95662
2001,128.02853
2002,76.06272
2003,105.34339
2004,96.20192
2005,209.87919
2006,218.54099
2007,243.06518
2008,311.07717
2009,277.78244
