years,data
1970,0.66073
1971,0.69645
1972,0.69645
1973,0.82992
1974,1.88208
1975,2.0152
1976,2.47191
1977,2.66323
1978,2.83728
1979,4.23561
1980,6.08851
1981,6.78843
1982,6.31765
1983,6.4039
1984,6.4114
1985,6.09627
1986,3.67879
1987,4.34082
1988,3.8826
1989,4.60104
1990,5.90659
1991,5.14049
1992,4.89534
1993,4.77277
1994,4.50464
1995,4.48165
1996,5.40097
1997,5.12517
1998,3.97603
1999,4.57358
2000,7.16298
2001,6.61906
2002,5.71506
2003,6.92549
2004,9.71408
2005,13.74373
2006,15.98073
2007,17.35204
2008,24.1856
2009,14.02719
