years,data
1970,51304.3039
1971,54798.47145
1972,78639.10741
1973,85376.58888
1974,81931.81698
1975,83429.01382
1976,92112.01664
1977,138049.0954
1978,150052.5424
1979,184413.8122
1980,115289.9623
1981,164631.7774
1982,158188.4576
1983,187030.7326
1984,148108.2557
1985,112511.3882
1986,118502.7964
1987,95536.24271
1988,102102.6329
1989,103436.9628
1990,102352.56
1991,101429.5142
1992,101010.186
1993,108493.1394
1994,96561.02966
1995,116091.2355
1996,134772.9948
1997,127312.3457
1998,138376.5086
1999,124749.6299
2000,122962.8121
2001,121358.5273
2002,114597.383
2003,110614.3958
2004,98086.2377
2005,116455.2023
2006,117791.6702
2007,131205.1744
2008,143543.5571
2009,116619.2488
