years,data
1960,561.93705
1961,299.93997
1962,395.18414
1963,400.9489
1964,382.89175
1965,415.52824
1966,424.11889
1967,368.2152
1968,418.60431
1969,664.67095
1970,782.91769
1971,870.04786
1972,1321.66734
1973,1467.97607
1974,1538.55475
1975,1574.66386
1976,1909.61779
1977,3269.635
1978,3644.55635
1979,4215.43559
1980,46.81564
1981,40.67807
1982,168.43046
1983,2005.54674
1984,1587.36976
1985,159.90015
1986,89.08312
1987,298.72994
1988,117.46975
1989,52.84044
1990,10.354
1991,14.46214
1992,9.89481
1993,16.10904
1994,31.2114
1995,36.2827
1996,0.40204
1997,1.06376
1998,1.52196
1999,12.34108
2000,15.84534
2001,5.35451
2002,22.58393
2003,1.27008
2004,845.34579
2005,27.75484
2006,1.85503
2007,1.51933
2008,1.52289
2009,9.88701
