years,data
1970,0.97887
1971,1.0573
1972,1.06958
1973,1.23871
1974,2.12073
1975,2.2395
1976,2.54262
1977,2.82361
1978,2.96294
1979,4.79997
1980,6.50878
1981,8.03348
1982,7.52587
1983,6.86638
1984,7.2808
1985,6.99028
1986,4.57313
1987,4.68523
1988,4.40875
1989,5.4178
1990,4.32343
1991,3.97958
1992,5.46225
1993,5.77635
1994,5.46991
1995,5.28605
1996,7.276
1997,5.65378
1998,4.52762
1999,4.96429
2000,8.53429
2001,7.22427
2002,6.49648
2003,7.26258
2004,9.59916
2005,14.12678
2006,16.27185
2007,17.75041
2008,24.69122
2009,14.4179
