years,data
1970,0.9397
1971,1.0216
1972,1.01146
1973,1.22933
1974,2.20228
1975,2.35153
1976,2.60696
1977,2.85533
1978,2.97896
1979,4.57494
1980,6.72753
1981,7.7792
1982,7.322
1983,6.58771
1984,6.6246
1985,6.36404
1986,5.1023
1987,5.86757
1988,5.62835
1989,6.21148
1990,7.49321
1991,7.08662
1992,7.16433
1993,7.11506
1994,7.0343
1995,6.94109
1996,7.72464
1997,7.42744
1998,6.34024
1999,6.89443
2000,9.33706
2001,8.85125
2002,8.47443
2003,9.56763
2004,11.98555
2005,16.30598
2006,18.37986
2007,19.68041
2008,26.29444
2009,16.54134
