years,data
1960,24399.5911
1961,21899.40028
1962,24060.91351
1963,24034.10465
1964,24044.07834
1965,24854.40089
1966,22851.96433
1967,22565.33232
1968,23036.13205
1969,29666.81603
1970,32409.58305
1971,34925.91532
1972,46019.78007
1973,53751.95285
1974,55720.55426
1975,54705.83668
1976,58322.4022
1977,74728.69281
1978,80964.51891
1979,89011.38598
1980,72512.54257
1981,90678.95497
1982,90523.37679
1983,96961.21756
1984,83988.9781
1985,79984.17333
1986,73831.53622
1987,70309.13812
1988,69436.86609
1989,73838.79768
1990,67908.91887
1991,72665.92466
1992,76194.66944
1993,81982.3312
1994,83327.54931
1995,88126.49105
1996,96750.66628
1997,98062.24053
1998,106479.8293
1999,104716.7674
2000,111847.5693
2001,119391.6427
2002,114101.9863
2003,114603.6203
2004,120620.6367
2005,127873.344
2006,141349.5039
2007,144541.0738
2008,144949.7519
2009,132143.3637
