years,data
1960,18.214
1961,17.038
1962,31.456
1963,25.929
1964,15.403
1965,14.164
1966,18.826
1967,14.803
1968,20.993
1969,27.936
1970,44.799
1971,50.146
1972,81.309
1973,76.947
1974,397.479
1975,75.059
1976,132.882
1977,260.753
1978,159.309
1979,310.791
1980,1125.751
1981,913.837
1982,1290.389
1983,1780.831
1984,631.067
1985,775.15
1986,473.437
1987,503.424
1988,654.051
1989,2349.737
1990,721.273
1991,351.534
1992,296.741
1993,414.682
1994,1387.624
1995,534.117
1996,695.723
1997,334.239
1998,509.113
1999,796.259
2000,2147.213
2001,2923.587
2002,437.301
2003,2553.765
2004,300.44722
2005,316.51401
2006,242.40803
2007,241.217
2008,192.741
2009,135.386
