years,data
1960,0.0
1961,0.0
1962,0.0
1963,0.0
1964,0.0
1965,0.0
1966,0.0
1967,0.0
1968,0.0
1969,0.0
1970,0.0
1971,0.0
1972,0.0
1973,0.0
1974,0.0
1975,0.0
1976,0.0
1977,0.0
1978,0.0
1979,0.0
1980,0.0
1981,0.0
1982,90.64662
1983,655.67678
1984,464.3446
1985,807.26767
1986,786.63017
1987,1107.06537
1988,830.49842
1989,626.11242
1990,584.12828
1991,582.46245
1992,658.1693
1993,149.76221
1994,371.2594
1995,1215.21606
1996,452.38904
1997,1068.88046
1998,1583.192
1999,1363.8292
2000,1562.53704
2001,1581.62037
2002,689.08595
2003,561.11349
2004,664.91066
2005,401.07109
2006,10832.54527
2007,15466.41886
2008,18391.45122
2009,19277.83742
