years,data
1960,33439.73117
1961,35919.93205
1962,39125.00858
1963,43460.59979
1964,46526.98736
1965,50511.48002
1966,54413.07131
1967,59454.20236
1968,64157.77743
1969,71425.21118
1970,78029.74452
1971,86422.08397
1972,96576.88519
1973,102707.8636
1974,105047.6461
1975,115612.9962
1976,119796.8213
1977,129254.8068
1978,138124.584
1979,139666.808
1980,150339.544
1981,161225.82
1982,168337.1275
1983,174791.5465
1984,194999.1984
1985,205232.2606
1986,209326.1556
1987,213111.6912
1988,223524.9582
1989,230056.6215
1990,241503.4481
1991,246145.9552
1992,245924.3288
1993,257489.7424
1994,266332.8792
1995,274169.0047
1996,284824.745
1997,290573.5783
1998,312362.0655
1999,318994.9765
2000,340341.751
2001,349590.4697
2002,331357.4917
2003,329920.7264
2004,339888.3521
2005,377996.0725
2006,379176.802
2007,377162.6608
2008,387168.8149
2009,404310.4845
