years,data
1960,9800.62461
1961,10527.52991
1962,11466.88411
1963,12737.57321
1964,13636.28
1965,14804.068
1966,15947.559
1967,17425.03
1968,18803.569
1969,20933.532
1970,22869.21
1971,25328.864
1972,28305.066
1973,30101.953
1974,30787.704
1975,33884.231
1976,35110.44
1977,37882.417
1978,40482.0
1979,40934.0
1980,44062.0
1981,47252.585
1982,49336.79
1983,51228.472
1984,57150.996
1985,60150.135
1986,61349.987
1987,62459.464
1988,65511.418
1989,67425.739
1990,70780.612
1991,72141.253
1992,72076.298
1993,75465.92685
1994,78057.702
1995,80354.339
1996,83477.35785
1997,85162.24453
1998,91548.08486
1999,93492.07987
2000,99748.4616
2001,102459.106
2002,97115.32581
2003,96694.234
2004,99615.578
2005,110784.312
2006,111130.364
2007,110540.053
2008,113472.689
2009,118496.625
