years,data
1960,38608.62248
1961,39655.76869
1962,48297.73006
1963,55061.04764
1964,58784.91126
1965,63956.44554
1966,69280.92955
1967,76841.76801
1968,86202.83226
1969,103079.9013
1970,111201.1062
1971,122763.8009
1972,139886.1757
1973,145461.3632
1974,148514.3048
1975,139521.9072
1976,140474.4216
1977,159787.8599
1978,174370.26
1979,171906.796
1980,195091.336
1981,196602.3504
1982,207221.4123
1983,205832.5713
1984,233253.4369
1985,244776.9482
1986,247002.5958
1987,253748.2734
1988,263594.2101
1989,271662.3891
1990,281652.3157
1991,286908.6347
1992,279557.3784
1993,299183.6869
1994,306372.6992
1995,316739.8394
1996,340026.777
1997,344932.8201
1998,376800.1529
1999,370514.0888
2000,398846.6988
2001,400373.562
2002,414336.5953
2003,414062.6663
2004,410565.5506
2005,431829.2472
2006,432789.0837
2007,426231.1822
2008,435752.0543
2009,442867.8792
