years,data
1970,701.24752
1971,776.39633
1972,895.28691
1973,961.13596
1974,1147.85221
1975,1219.5875
1976,1382.25005
1977,1775.95258
1978,2068.68866
1979,2243.18256
1980,2910.30232
1981,3601.77865
1982,4402.94317
1983,4619.87295
1984,5042.97429
1985,5381.84467
1986,4984.70011
1987,5008.99092
1988,5314.00392
1989,5555.97942
1990,5947.36466
1991,6361.30382
1992,6342.65092
1993,7017.26362
1994,7254.68493
1995,7161.9217
1996,7739.86971
1997,7904.55294
1998,8448.24
1999,8201.19968
2000,9304.78637
2001,10399.34294
2002,9778.33122
2003,11111.33853
2004,11707.07139
2005,13831.78011
2006,16307.43208
2007,15418.55072
2008,16649.38007
2009,16071.54248
