years,data
1960,0.0
1961,0.0
1962,0.0
1963,46424.73996
1964,51952.86278
1965,46022.54544
1966,44746.33844
1967,45083.70718
1968,51493.71298
1969,50781.49011
1970,58739.64344
1971,80826.30847
1972,109668.5521
1973,130625.3548
1974,121013.4263
1975,102336.3621
1976,149070.9505
1977,235622.3926
1978,293192.95
1979,348725.8452
1980,353859.602
1981,299817.9496
1982,215009.4141
1983,210842.9092
1984,193658.4764
1985,208181.2421
1986,223977.0316
1987,203829.2976
1988,214041.0749
1989,200215.8338
1990,276737.8807
1991,314050.9257
1992,309199.4718
1993,320421.4992
1994,318358.4152
1995,304073.8246
1996,304807.4258
1997,359782.3132
1998,341996.7496
1999,338852.8246
2000,301678.1011
2001,239049.1771
2002,228083.175
2003,252373.5949
2004,281282.0532
2005,255478.2116
2006,405485.0645
2007,381612.793
2008,332210.246
2009,217849.7875
