years,data
1977,374213.9605
1978,394809.5719
1979,407951.5335
1980,422330.7406
1981,448999.4169
1982,450621.4156
1983,449934.8952
1984,476135.8323
1985,497448.1408
1986,486358.1962
1987,484449.5187
1988,513456.8908
1989,526568.6756
1990,543512.9039
1991,552294.3294
1992,573991.3911
1993,594632.2676
1994,627864.3805
1995,659565.0249
1996,698643.8773
1997,754418.0
1998,802173.0
1999,837263.0
2000,872598.0
2001,895381.0
2002,916438.0
2003,918039.0
2004,968363.0
2005,970997.0
2006,1017505.0
2007,1069863.0
2008,1065904.0
2009,1066437.0
