years,data
1960,1571.77586
1961,2383.7037
1962,3909.25405
1963,4258.26717
1964,4805.36229
1965,6544.94972
1966,8481.34494
1967,11103.86144
1968,12836.57229
1969,15315.79862
1970,16230.91513
1971,16525.06895
1972,17930.43394
1973,19389.38646
1974,18635.80685
1975,20405.70619
1976,19084.53659
1977,19860.69136
1978,21668.25721
1979,23137.9985
1980,24203.72664
1981,24791.59985
1982,36243.61709
1983,40948.96983
1984,57976.63804
1985,68565.10521
1986,74462.25475
1987,78500.30629
1988,88516.32098
1989,87284.61737
1990,90719.81332
1991,86522.91983
1992,85696.55344
1993,83652.67675
1994,82104.51903
1995,82543.86706
1996,99738.13827
1997,105602.3968
1998,108635.3168
1999,104896.2455
2000,102716.6573
2001,112845.4954
2002,115597.8821
2003,101334.5013
2004,88820.70911
2005,80381.91133
2006,81452.23355
2007,75408.51802
2008,72515.89962
2009,61807.864
