years,data
1970,0.76244
1971,0.80388
1972,0.80388
1973,0.95305
1974,2.16301
1975,2.23292
1976,2.84579
1977,3.10169
1978,3.32687
1979,4.69025
1980,6.8862
1981,7.61017
1982,7.24841
1983,6.57126
1984,6.67911
1985,6.49431
1986,4.3424
1987,4.49846
1988,4.028
1989,4.8917
1990,6.06806
1991,5.30463
1992,4.87963
1993,4.37593
1994,4.33657
1995,4.20278
1996,5.34398
1997,4.48611
1998,3.44722
1999,4.54907
2000,7.00463
2001,5.47778
2002,5.43843
2003,6.60324
2004,9.33426
2005,12.91528
2006,14.92222
2007,15.725
2008,17.56667
2009,13.93056
