years,data
1970,16.70168
1971,12.15124
1972,16.96141
1973,18.55037
1974,38.9537
1975,37.54382
1976,39.37922
1977,52.84428
1978,73.21102
1979,196.89988
1980,464.86684
1981,164.96117
1982,348.26454
1983,88.85176
1984,12.84265
1985,15.22674
1986,11.20714
1987,11.31789
1988,3.05123
1989,6.88558
1990,5.11097
1991,1.40156
1992,2.27635
1993,2.40832
1994,2.42361
1995,3.05021
1996,4.8806
1997,7.16686
1998,6.79086
1999,3.46302
2000,9.7295
2001,14.32995
2002,2.24774
2003,7.33524
2004,14.69919
2005,17.51454
2006,18.3759
2007,11.78963
2008,10.24317
2009,5.63495
