years,data
1960,34.35657
1961,14.84043
1962,20.94334
1963,27.78912
1964,38.14748
1965,41.2789
1966,105.8145
1967,100.00145
1968,177.15841
1969,185.07827
1970,188.76899
1971,158.5844
1972,184.98006
1973,273.87654
1974,229.47664
1975,219.61532
1976,150.4488
1977,197.5542
1978,221.95357
1979,532.98
1980,1122.66
1981,646.38
1982,2018.73495
1983,635.17205
1984,272.43063
1985,637.32076
1986,260.82692
1987,336.16154
1988,330.62416
1989,279.03703
1990,149.44657
1991,194.59208
1992,129.08095
1993,171.71368
1994,112.75209
1995,124.67015
1996,218.13375
1997,253.95244
1998,173.39246
1999,177.6335
2000,170.31121
2001,326.65613
2002,98.22629
2003,103.68837
2004,65.29385
2005,87.21225
2006,40.38656
2007,53.68696
2008,30.47988
2009,16.66458
