years,data
1970,0.7648
1971,0.80674
1972,0.80658
1973,0.95662
1974,2.16577
1975,2.23713
1976,2.84725
1977,3.10478
1978,3.3296
1979,4.69483
1980,6.90501
1981,7.63712
1982,7.34851
1983,6.72527
1984,6.66144
1985,6.46908
1986,4.33226
1987,4.54927
1988,4.12191
1989,4.59211
1990,6.16273
1991,5.6397
1992,5.09043
1993,4.90694
1994,4.34446
1995,4.14534
1996,5.09416
1997,4.65222
1998,3.37292
1999,3.96384
2000,7.15898
2001,5.56261
2002,5.53013
2003,6.8891
2004,9.42497
2005,13.04499
2006,15.55875
2007,15.71605
2008,18.05504
2009,15.95587
