years,data
1970,0.99986
1971,1.07685
1972,1.10541
1973,1.26084
1974,2.40587
1975,2.41558
1976,2.54546
1977,2.99716
1978,2.46654
1979,4.25457
1980,5.21514
1981,5.92334
1982,6.05357
1983,6.57074
1984,6.40128
1985,4.47885
1986,4.32519
1987,3.78141
1988,3.68156
1989,2.68353
1990,4.24707
1991,4.37113
1992,4.14973
1993,3.97244
1994,8.77768
1995,9.18859
1996,10.17741
1997,10.40345
1998,9.31025
1999,9.62597
2000,12.7553
2001,13.59494
2002,11.38784
2003,12.76405
2004,15.45471
2005,18.05956
2006,20.06578
2007,22.19444
2008,26.83698
2009,21.82336
