years,data
1970,15.94779
1971,16.47909
1972,17.49015
1973,18.13608
1974,30.58554
1975,28.08854
1976,30.2563
1977,32.56184
1978,29.67763
1979,26.31174
1980,32.20316
1981,36.94112
1982,28.36975
1983,36.61048
1984,32.43095
1985,32.12518
1986,28.52926
1987,26.72417
1988,22.87854
1989,17.70271
1990,25.88186
1991,17.49493
1992,14.21522
1993,14.4255
1994,31.7257
1995,30.28669
1996,23.30418
1997,36.12762
1998,41.98609
1999,86.74362
2000,135.6408
2001,164.53816
2002,123.41967
2003,158.9391
2004,109.23901
2005,171.58802
2006,166.96961
2007,55.32403
2008,218.16537
2009,137.97576
