years,data
1960,9098.02616
1961,9118.53429
1962,9191.27145
1963,9452.54452
1964,11483.85271
1965,11777.79634
1966,10712.61595
1967,10954.22095
1968,12618.22745
1969,14923.17202
1970,13893.89455
1971,13355.05879
1972,13852.29393
1973,12640.23305
1974,11219.5299
1975,10303.58581
1976,10543.82116
1977,9726.23569
1978,10795.25107
1979,5532.04229
1980,5532.64493
1981,5635.3864
1982,4267.51495
1983,5075.07464
1984,4633.94007
1985,6553.21148
1986,5965.17814
1987,6358.10129
1988,5601.51057
1989,5896.18466
1990,5533.97805
1991,3645.60579
1992,3111.60943
1993,3315.02879
1994,3273.15424
1995,2994.84281
1996,2086.25826
1997,3161.3532
1998,4107.6685
1999,8203.59242
2000,9704.94231
2001,11024.03621
2002,9874.48584
2003,8482.86972
2004,6690.843
2005,7958.61295
2006,6054.88095
2007,6612.70571
2008,6263.12589
2009,5359.39579
