years,data
1960,293995.4532
1961,304634.5551
1962,328630.9184
1963,349923.8481
1964,406905.7713
1965,437635.307
1966,444718.4457
1967,435741.3468
1968,491894.3709
1969,571434.001
1970,571469.957
1971,582256.2149
1972,670387.0699
1973,690471.1799
1974,658687.5627
1975,584169.4634
1976,595427.3641
1977,597000.8381
1978,605481.5726
1979,670627.4103
1980,697333.8209
1981,744341.3402
1982,706026.7439
1983,709958.0827
1984,948412.1205
1985,925725.0799
1986,910622.7529
1987,996276.7838
1988,1069890.529
1989,1127639.105
1990,1062280.443
1991,1159861.844
1992,1207634.58
1993,1162233.032
1994,1303507.625
1995,1341939.436
1996,1427358.545
1997,1623786.349
1998,1615859.347
1999,1609812.196
2000,1466385.915
2001,1413108.599
2002,1514130.059
2003,1550804.11
2004,1615826.292
2005,1496823.581
2006,1521418.262
2007,1555949.1
2008,1384083.051
2009,1489198.463
