years,data
1970,1.06512
1971,1.13432
1972,1.15369
1973,1.39534
1974,2.458
1975,2.48688
1976,2.63821
1977,3.0967
1978,2.58888
1979,4.30092
1980,5.27871
1981,5.98549
1982,6.12657
1983,6.63026
1984,6.4435
1985,4.58611
1986,4.41952
1987,3.87407
1988,3.76516
1989,2.82841
1990,4.36684
1991,4.45821
1992,4.20806
1993,4.03596
1994,5.20267
1995,5.0827
1996,6.4677
1997,5.76838
1998,4.33435
1999,5.07975
2000,7.75406
2001,7.07091
2002,6.07876
2003,8.17935
2004,10.2824
2005,12.21767
2006,14.75724
2007,16.50966
2008,20.76057
2009,12.76507
