years,data
1970,607.83608
1971,659.14327
1972,771.30216
1973,956.97246
1974,1612.35268
1975,1447.86115
1976,1567.71783
1977,1838.96251
1978,1553.45329
1979,2862.80464
1980,3665.64655
1981,4434.07292
1982,4262.92108
1983,4681.69624
1984,6079.85239
1985,4229.26228
1986,4006.24114
1987,3851.91589
1988,4018.82277
1989,3176.56847
1990,4625.5836
1991,5161.33466
1992,5070.32905
1993,4683.347
1994,6771.56049
1995,6809.22976
1996,9218.48178
1997,9354.42876
1998,6997.96934
1999,8165.19414
2000,11352.65029
2001,9977.40603
2002,9188.66493
2003,12655.4945
2004,16602.31005
2005,18273.60317
2006,22439.11412
2007,25677.47274
2008,28701.25395
2009,18999.03693
