years,data
1960,1780.41467
1961,1732.77118
1962,1788.85883
1963,1788.28463
1964,1877.98391
1965,1813.82742
1966,1884.23256
1967,1658.96263
1968,1822.29091
1969,1593.06205
1970,1622.81236
1971,1627.2429
1972,1742.45411
1973,1817.06771
1974,1740.26512
1975,1738.1317
1976,1930.8648
1977,1908.13182
1978,2049.13919
1979,2144.20218
1980,1909.37533
1981,1831.16515
1982,1669.86895
1983,1748.30819
1984,1864.34721
1985,1737.50929
1986,1698.89507
1987,1920.6978
1988,1852.20664
1989,1899.78722
1990,1955.02519
1991,1748.99539
1992,1783.15916
1993,1815.71947
1994,1897.79106
1995,1865.19803
1996,1810.1564
1997,1912.22231
1998,2001.8204
1999,2022.76371
2000,1992.42864
2001,1825.50392
2002,1803.90613
2003,1667.70917
2004,1689.53603
2005,1680.73329
2006,1637.50499
2007,1691.0086
2008,1569.89737
2009,1411.44815
