years,data
1970,50.02526
1971,52.02899
1972,58.98246
1973,58.69273
1974,76.24056
1975,78.90092
1976,82.55829
1977,80.70664
1978,94.4488
1979,132.733
1980,166.27465
1981,199.92718
1982,174.68018
1983,180.08902
1984,199.39515
1985,185.56322
1986,160.6458
1987,158.18279
1988,164.18011
1989,166.87363
1990,173.1077
1991,178.16154
1992,198.07482
1993,208.77423
1994,219.97487
1995,219.59806
1996,220.47002
1997,208.49172
1998,231.50124
1999,205.44096
2000,217.38619
2001,210.35729
2002,237.80795
2003,268.1893
2004,300.74969
2005,391.39529
2006,457.68246
2007,493.56216
2008,496.89436
2009,406.58419
