years,data
1960,1712.21124
1961,1666.39286
1962,2320.89013
1963,2320.14514
1964,2436.52223
1965,1973.76033
1966,2050.3734
1967,2066.10112
1968,2269.51302
1969,2533.69359
1970,2581.01011
1971,2646.27921
1972,2833.63971
1973,3198.66877
1974,3063.46958
1975,2583.16607
1976,2869.60097
1977,3428.36641
1978,3681.71629
1979,3852.51725
1980,3430.60064
1981,3290.07937
1982,3000.27628
1983,3141.20912
1984,3349.69802
1985,3121.80661
1986,3052.4279
1987,3450.9439
1988,3327.88488
1989,3413.37356
1990,3512.62039
1991,3142.44383
1992,3203.82635
1993,3262.32788
1994,3409.78703
1995,3351.2267
1996,3252.33265
1997,3435.71585
1998,3596.69797
1999,3634.3271
2000,3579.82366
2001,3279.90774
2002,3241.1027
2003,2996.39578
2004,3035.61238
2005,3019.79639
2006,2942.12752
2007,3038.25818
2008,2820.65599
2009,2535.9681
