years,data
1970,79.56292
1971,84.61136
1972,95.91933
1973,103.31954
1974,134.2098
1975,117.2605
1976,122.69598
1977,145.00673
1978,169.69744
1979,238.48319
1980,298.74793
1981,359.21189
1982,313.85026
1983,323.5684
1984,358.25599
1985,333.40396
1986,288.6345
1987,284.20917
1988,294.98464
1989,299.82411
1990,311.02496
1991,320.10527
1992,355.88372
1993,375.1075
1994,395.23184
1995,394.55482
1996,396.12149
1997,374.59992
1998,415.94142
1999,369.11858
2000,390.58073
2001,377.95181
2002,427.27278
2003,481.85936
2004,540.36106
2005,703.22524
2006,822.3243
2007,886.78986
2008,892.77686
2009,730.51534
