years,data
1960,459012.6637
1961,474163.9995
1962,493673.9282
1963,513177.6486
1964,529509.0033
1965,549340.3807
1966,580793.458
1967,605027.1405
1968,653341.6829
1969,691646.7344
1970,731699.8136
1971,769560.5771
1972,826876.0693
1973,880608.2104
1974,872165.6398
1975,913257.6447
1976,966025.0318
1977,1014207.442
1978,1053057.966
1979,1018788.855
1980,930976.4723
1981,964682.034
1982,993637.451
1983,1008867.094
1984,1012556.418
1985,1044089.847
1986,1065750.15
1987,1044387.931
1988,1061717.119
1989,1033105.212
1990,1044152.405
1991,1011407.977
1992,1023814.828
1993,1070793.11
1994,1123724.366
1995,1091600.975
1996,1158875.166
1997,1149980.967
1998,1207384.263
1999,1252339.488
2000,1287264.121
2001,1311586.569
2002,1371299.922
2003,1375226.522
2004,1405564.551
2005,1421405.689
2006,1456527.701
2007,1490830.786
2008,1481449.644
2009,1488852.87
