years,data
1960,3480.94857
1961,3461.13304
1962,3559.21806
1963,3488.98356
1964,3433.54455
1965,3737.04424
1966,3657.24371
1967,3407.32893
1968,3928.26369
1969,3841.68463
1970,3633.55736
1971,3225.21425
1972,3204.83198
1973,3296.70185
1974,3619.40247
1975,3610.35701
1976,8344.17371
1977,5220.62797
1978,4214.05557
1979,6104.70918
1980,17331.74142
1981,4103.97575
1982,4567.5043
1983,12765.16916
1984,9176.83241
1985,10266.17471
1986,10962.73086
1987,12062.28078
1988,12819.91677
1989,12258.50481
1990,12048.23557
1991,8526.75838
1992,7596.89123
1993,835.75319
1994,838.97678
1995,854.38638
1996,852.12024
1997,848.84989
1998,852.08074
1999,857.60335
2000,869.65893
2001,918.67998
2002,928.17788
2003,922.04541
2004,928.38729
2005,937.96023
2006,976.54061
2007,1939.96707
2008,1882.77666
2009,1624.38453
