years,data
1970,30.97952
1971,37.85784
1972,38.57903
1973,55.40143
1974,155.16119
1975,269.54563
1976,515.29788
1977,640.13985
1978,580.12315
1979,763.5457
1980,741.05689
1981,822.12086
1982,651.74673
1983,531.40589
1984,450.6067
1985,539.0247
1986,250.48224
1987,309.44657
1988,307.55293
1989,346.59414
1990,360.74934
1991,354.36644
1992,224.64479
1993,189.3403
1994,201.02394
1995,203.85031
1996,247.17449
1997,249.49255
1998,199.69933
1999,262.68037
2000,451.59288
2001,331.94934
2002,374.46272
2003,416.12442
2004,485.68807
2005,656.16705
2006,1348.60591
2007,1492.40849
2008,2214.49684
2009,1481.44948
