years,data
1970,266.46653
1971,334.03908
1972,370.01685
1973,350.87466
1974,606.21895
1975,1049.96392
1976,1426.50308
1977,1864.82087
1978,2122.87615
1979,2304.0005
1980,2727.12207
1981,3485.07426
1982,4170.92901
1983,3869.81628
1984,4138.12399
1985,3906.97599
1986,2600.43209
1987,2241.5475
1988,2253.77099
1989,2548.13846
1990,2467.82964
1991,2303.32801
1992,2490.11272
1993,2993.45696
1994,2619.28372
1995,2337.93039
1996,3033.48908
1997,3317.55334
1998,3318.84986
1999,3628.7331
2000,6692.97504
2001,6530.17674
2002,5286.50114
2003,7952.6008
2004,8227.0123
2005,11906.06102
2006,9586.96698
2007,9975.96896
2008,12830.78324
2009,5494.19049
