years,data
1970,0.20448
1971,0.24051
1972,0.25266
1973,0.30388
1974,0.51372
1975,0.91972
1976,1.2744
1977,1.23496
1978,1.8607
1979,1.8416
1980,2.2374
1981,2.81265
1982,3.29932
1983,3.34334
1984,3.67849
1985,3.06916
1986,2.36012
1987,1.97634
1988,2.10557
1989,2.15482
1990,2.09183
1991,1.8557
1992,2.01891
1993,2.44073
1994,2.10979
1995,1.81326
1996,2.48876
1997,2.71821
1998,2.21958
1999,2.46702
2000,3.96737
2001,4.3567
2002,3.29087
2003,5.20899
2004,5.73291
2005,7.41274
2006,6.51901
2007,6.55426
2008,8.72792
2009,3.95222
