years,data
1970,258.28984
1971,340.83408
1972,328.15117
1973,448.28465
1974,677.50562
1975,834.90074
1976,1194.89198
1977,1201.23495
1978,1987.06647
1979,1589.78914
1980,2840.57309
1981,3928.87141
1982,3561.94783
1983,3665.93257
1984,4368.79957
1985,3940.78998
1986,2775.01324
1987,2507.94629
1988,3131.13371
1989,3476.87244
1990,3188.65807
1991,2915.66828
1992,3112.54029
1993,3873.31949
1994,3300.99267
1995,2991.12363
1996,4669.2202
1997,4908.19768
1998,3826.9723
1999,4013.1993
2000,7398.43355
2001,7710.81029
2002,5783.33442
2003,8622.48044
2004,9353.79826
2005,8584.18883
2006,7236.8703
2007,7498.06566
2008,10057.54831
2009,4037.00234
