years,data
1960,5892704.0
1961,5963605.0
1962,6080210.0
1963,6205034.0
1964,6525649.0
1965,6636555.0
1966,6953790.0
1967,7188900.0
1968,7495414.0
1969,7853199.0
1970,8357716.0
1971,8550705.0
1972,8657840.0
1973,8513850.0
1974,8170798.0
1975,7485764.0
1976,7191859.0
1977,7051027.0
1978,6548184.0
1979,7174623.0
1980,7115889.0
1981,6910021.0
1982,6468817.0
1983,5938561.0
1984,6185021.0
1985,6052663.0
1986,6151775.0
1987,6126315.0
1988,6286029.0
1989,6241425.0
1990,6343146.0
1991,6280653.697
1992,6145862.054
1993,6249624.273
1994,6353844.009
1995,6330047.555
1996,6470620.495
1997,6453873.261
1998,6408444.039
1999,6211613.44
2000,6418165.858
2001,6432489.966
2002,6139379.036
2003,6303479.246
2004,6158053.624
2005,6188856.85
2006,6326358.535
2007,6761739.273
2008,7440800.245
2009,7284519.855
