years,data
1960,52295.0
1961,62800.0
1962,61208.0
1963,65583.0
1964,66254.0
1965,67532.0
1966,67576.0
1967,72353.0
1968,85067.0
1969,86302.0
1970,96229.0
1971,99091.0
1972,104378.0
1973,104587.0
1974,93799.0
1975,82121.0
1976,71960.0
1977,66520.0
1978,75178.0
1979,77867.0
1980,104826.0
1981,101771.0
1982,102746.0
1983,105797.0
1984,107907.0
1985,92040.0
1986,81753.0
1987,80976.0
1988,107527.0
1989,107190.0
1990,106046.0
1991,81963.0
1992,80903.0
1993,82175.0
1994,95684.0
1995,81877.0
1996,75567.0
1997,82114.956
1998,65800.057
1999,70397.43
2000,62013.778
2001,69598.005
2002,88973.43
2003,56196.997
2004,55587.395
2005,81263.398
2006,85262.158
2007,89665.631
2008,109488.0
2009,93508.0
