years,data
1960,177678.45
1961,172004.58
1962,203308.155
1963,205598.731
1964,199465.069
1965,189345.83
1966,204798.265
1967,210268.908
1968,219809.994
1969,229115.664
1970,238458.103
1971,243796.449
1972,247653.2311
1973,248727.1696
1974,229657.2891
1975,239210.6112
1976,242404.4946
1977,277404.2078
1978,281835.6616
1979,325187.4158
1980,231735.08
1981,215960.2086
1982,228332.2124
1983,221320.8801
1984,239408.2845
1985,220989.5048
1986,202903.7213
1987,219606.423
1988,218376.2757
1989,239194.6326
1990,219534.547
1991,231096.4595
1992,225431.3367
1993,238377.5646
1994,222559.2428
1995,215150.0586
1996,237724.4402
1997,242058.6406
1998,209377.2889
1999,182536.9753
2000,200025.2739
2001,213391.3166
2002,216912.5257
2003,212685.9788
2004,197422.645
2005,190300.3528
2006,170585.1721
2007,206073.7745
2008,197875.2225
2009,196980.6465
