years,data
1970,572838.006
1971,568143.589
1972,594226.9806
1973,611798.9194
1974,600777.8476
1975,530434.4973
1976,527057.491
1977,493235.9929
1978,412711.0416
1979,429881.3384
1980,406747.6388
1981,230362.2472
1982,206217.848
1983,209270.9227
1984,201795.907
1985,195539.0483
1986,235019.5397
1987,241912.7432
1988,255432.7198
1989,245030.554
1990,258569.1284
1991,272473.6238
1992,279128.9988
1993,285638.0997
1994,281797.462
1995,283352.2309
1996,313141.591
1997,305280.0161
1998,374191.4783
1999,308375.4835
2000,316207.827
2001,308061.7106
2002,286393.2909
2003,264929.5194
2004,238615.9007
2005,220936.5594
2006,212576.8373
2007,193689.2133
2008,209379.3865
2009,207341.5757
