years,data
1960,0.0
1961,0.0
1962,0.0
1963,0.0
1964,0.0
1965,0.0
1966,0.0
1967,0.0
1968,0.0
1969,0.0
1970,0.0
1971,0.0
1972,0.0
1973,0.0
1974,0.0
1975,0.0
1976,0.0
1977,0.0
1978,0.0
1979,0.0
1980,0.0
1981,0.0
1982,0.0
1983,0.0
1984,0.0
1985,0.0
1986,0.0
1987,0.0
1988,0.0
1989,0.0
1990,10.27456
1991,2.0468
1992,184.19766
1993,225.81647
1994,244.61632
1995,347.72565
1996,457.63543
1997,250.72788
1998,840.25382
1999,994.28778
2000,1089.9034
2001,1755.94212
2002,1871.3906
2003,2277.33083
2004,2561.55135
2005,1861.88433
2006,1914.54598
2007,1927.02535
2008,2018.27594
2009,2260.57644
