years,data
1960,54125.325
1961,64998.0
1962,63350.28
1963,68009.571
1964,68440.382
1965,70030.684
1966,70481.768
1967,75536.532
1968,88299.546
1969,89581.476
1970,98827.183
1971,101766.457
1972,107410.1809
1973,107726.7017
1974,96771.49031
1975,84556.70886
1976,74026.6912
1977,68353.2912
1978,77089.02476
1979,80167.19118
1980,108059.8821
1981,105137.5847
1982,105971.1969
1983,109171.9243
1984,112169.3265
1985,95637.8436
1986,85240.58298
1987,84403.71408
1988,111838.8327
1989,111427.2207
1990,110526.1135
1991,85246.84532
1992,85138.01087
1993,84732.94297
1994,100020.0642
1995,85689.76029
1996,78794.92165
1997,84836.52291
1998,69913.86365
1999,74044.99691
2000,65176.802
2001,73004.11582
2002,93795.17954
2003,60103.47877
2004,59866.04098
2005,85397.40693
2006,89413.13038
2007,94407.26051
2008,114417.5619
2009,98081.96436
