years,data
1960,421566.0011
1961,434774.9568
1962,509372.5621
1963,574622.2077
1964,625563.8239
1965,663206.4508
1966,732300.7394
1967,808229.8531
1968,883973.1916
1969,1010430.088
1970,1090288.591
1971,1199508.344
1972,1313047.74
1973,1289980.366
1974,1356194.524
1975,1379009.334
1976,1403347.836
1977,1527527.515
1978,1539878.249
1979,1453582.22
1980,1482937.505
1981,1419582.183
1982,1328744.056
1983,1219217.745
1984,1303345.269
1985,1240699.972
1986,1145557.03
1987,1086545.988
1988,1078357.937
1989,1183526.1
1990,1173587.67
1991,1166453.408
1992,1134447.3
1993,1243645.296
1994,1217138.997
1995,1237654.795
1996,1235133.992
1997,1259989.876
1998,1475569.029
1999,1476348.002
2000,1610708.021
2001,1551030.748
2002,1579374.522
2003,1483821.522
2004,1426117.004
2005,1507392.072
2006,1501245.22
2007,1507800.347
2008,1472659.698
2009,1415849.671
