years,data
1960,0.0
1961,0.0
1962,0.0
1963,0.0
1964,0.0
1965,0.0
1966,0.0
1967,0.0
1968,0.0
1969,0.0
1970,0.0
1971,0.0
1972,0.0
1973,0.0
1974,0.0
1975,0.0
1976,0.0
1977,0.0
1978,0.0
1979,0.0
1980,0.0
1981,0.0
1982,0.0
1983,0.0
1984,0.0
1985,0.0
1986,0.0
1987,0.0
1988,3791.793
1989,9989.775
1990,15859.258
1991,19799.867
1992,24496.392
1993,12406.774
1994,28745.474
1995,36151.325
1996,35766.55
1997,37357.647
1998,38685.129
1999,36759.899
2000,37555.807
2001,38162.863
2002,35618.004
2003,33437.484
2004,40435.372
2005,38232.493
2006,41264.278
2007,40955.03
2008,40727.37
2009,41497.617
