years,data
1960,748038.9495
1961,765743.4874
1962,820093.0324
1963,901783.7885
1964,977896.7785
1965,985226.3668
1966,1033177.966
1967,1051373.364
1968,1110983.772
1969,1230913.073
1970,1256461.739
1971,1293119.832
1972,1476931.956
1973,1600830.114
1974,1596227.423
1975,1493125.954
1976,1664752.213
1977,1877219.43
1978,1986550.612
1979,2265664.855
1980,2291449.806
1981,2121570.809
1982,1938957.274
1983,1858567.87
1984,2072170.072
1985,1975362.251
1986,1967625.494
1987,2051318.378
1988,2224131.906
1989,2239696.184
1990,2307150.484
1991,2373764.661
1992,2512347.691
1993,2451824.645
1994,2611857.008
1995,2630919.081
1996,2889527.066
1997,3161894.133
1998,3087395.5
1999,3016682.949
2000,2837668.48
2001,2726516.297
2002,2826094.702
2003,2953080.378
2004,3106325.016
2005,2957734.091
2006,3289510.685
2007,3265615.581
2008,2910169.321
2009,2823373.942
