years,data
1960,1551580.647
1961,1571903.315
1962,1651055.639
1963,1755298.644
1964,1870024.648
1965,1908695.972
1966,1988882.438
1967,2050690.345
1968,2208310.938
1969,2403957.03
1970,2468140.866
1971,2542021.581
1972,2831725.84
1973,3086370.03
1974,3106020.94
1975,3063015.803
1976,3297753.475
1977,3637217.734
1978,3845936.57
1979,4193829.29
1980,4081478.166
1981,3950205.05
1982,3789688.293
1983,3792258.299
1984,4002584.396
1985,3988731.875
1986,4018583.878
1987,4072494.636
1988,4319767.557
1989,4337233.746
1990,4401711.52
1991,4430039.197
1992,4611016.795
1993,4538299.732
1994,4741694.807
1995,4743968.693
1996,5177648.139
1997,5511812.915
1998,5582369.354
1999,5511522.808
2000,5417919.913
2001,5405092.753
2002,5564644.844
2003,5608416.753
2004,5792817.896
2005,5656500.566
2006,6108375.821
2007,6121029.967
2008,5711336.663
2009,5496264.65
