years,data
1960,13120.53577
1961,15077.9225
1962,16709.40331
1963,16734.39163
1964,17694.56586
1965,18514.94275
1966,17948.14018
1967,18209.63543
1968,18457.98092
1969,19168.11625
1970,17195.52546
1971,17498.15125
1972,20082.20857
1973,21990.27617
1974,19904.32307
1975,21384.37887
1976,21035.93997
1977,22390.67323
1978,22138.20771
1979,20134.52736
1980,21787.18309
1981,19629.02472
1982,20389.04196
1983,19433.30166
1984,21478.33464
1985,23504.31217
1986,22817.06606
1987,22772.37898
1988,24767.99041
1989,23859.92434
1990,27974.50305
1991,27558.06438
1992,29471.94397
1993,28421.22976
1994,25426.68008
1995,24829.40814
1996,26580.58502
1997,29608.88965
1998,27596.53908
1999,27635.00301
2000,28038.67907
2001,30057.80986
2002,29728.50546
2003,30502.59789
2004,33103.28802
2005,30332.72635
2006,34717.49497
2007,30783.63306
2008,26740.05767
2009,24244.96687
