years,data
1970,9.56593
1971,12.53728
1972,13.0405
1973,11.53881
1974,11.22941
1975,25.2861
1976,24.94476
1977,40.22222
1978,31.75838
1979,22.86407
1980,25.09466
1981,65.99069
1982,40.76881
1983,15.31098
1984,20.52277
1985,24.82695
1986,16.2469
1987,19.32882
1988,20.72151
1989,21.28327
1990,41.84088
1991,36.44795
1992,38.00365
1993,18.59791
1994,10.11747
1995,11.65816
1996,14.69274
1997,38.35796
1998,19.52023
1999,24.54411
2000,22.17336
2001,50.16993
2002,37.43606
2003,36.17948
2004,59.0595
2005,62.43636
2006,89.57794
2007,81.1223
2008,89.37944
2009,1.77694
