years,data
1960,75059.04
1961,75059.04
1962,82589.04
1963,80601.12
1964,91384.08
1965,93040.68
1966,89968.44
1967,90600.96
1968,92649.12
1969,91233.48
1970,85570.92
1971,86384.16
1972,99456.24
1973,113522.28
1974,104667.0
1975,110962.08
1976,110781.36
1977,112950.0
1978,114546.36
1979,107769.36
1980,119787.24
1981,94257.35186
1982,103843.6936
1983,107156.1926
1984,117044.6739
1985,128220.5929
1986,126838.05
1987,124312.0897
1988,134863.3222
1989,131521.4011
1990,134931.0894
1991,133558.4545
1992,139151.8898
1993,152075.5075
1994,142769.2955
1995,139801.7957
1996,150360.1662
1997,150401.1687
1998,151706.5155
1999,148749.103
2000,151487.5783
2001,150074.6316
2002,150314.7431
2003,153261.587
2004,156768.8567
2005,146690.3057
2006,161242.8605
2007,151085.944
2008,138829.4915
2009,144652.5161
