years,data
1960,13120.53577
1961,15077.9225
1962,16709.40331
1963,16734.39163
1964,17694.56586
1965,18514.94275
1966,17948.14018
1967,18209.63543
1968,18457.98092
1969,19168.11625
1970,17195.52546
1971,17498.15125
1972,20082.20857
1973,21990.27617
1974,19904.32307
1975,21384.37887
1976,21035.93997
1977,22390.67323
1978,22138.20771
1979,20134.52736
1980,21787.18309
1981,19629.02472
1982,20389.04196
1983,19433.30166
1984,21478.33464
1985,23504.31217
1986,22817.06606
1987,22772.37898
1988,24767.99041
1989,23859.92434
1990,27974.50305
1991,27558.06438
1992,29471.94397
1993,31291.76976
1994,27771.63508
1995,27288.95814
1996,29117.83502
1997,32080.78965
1998,30117.38908
1999,30068.10301
2000,30875.12907
2001,32108.99486
2002,32627.69046
2003,31767.06289
2004,35731.20302
2005,33058.26135
2006,37643.58997
2007,32851.40806
2008,28584.38767
2009,26794.64687
