years,data
1970,9.56593
1971,12.53728
1972,13.0405
1973,11.53881
1974,11.22941
1975,25.2861
1976,24.94476
1977,40.22222
1978,31.75838
1979,22.86407
1980,25.09466
1981,65.99069
1982,40.76881
1983,15.31098
1984,20.52277
1985,24.82695
1986,16.2469
1987,19.32882
1988,20.72151
1989,21.28327
1990,41.84088
1991,36.44795
1992,38.00365
1993,33.13316
1994,17.12694
1995,22.9482
1996,24.47613
1997,57.38071
1998,29.45268
1999,32.1508
2000,29.34981
2001,69.51588
2002,46.2208
2003,39.15016
2004,74.47926
2005,74.25777
2006,105.44206
2007,98.68565
2008,121.48804
2009,21.28322
