years,data
1970,2305.55932
1971,2499.85759
1972,2684.37259
1973,3036.96988
1974,4546.36856
1975,5233.32053
1976,5712.56484
1977,6550.37708
1978,6931.7364
1979,9522.5259
1980,12568.41206
1981,15076.28285
1982,14875.82298
1983,13377.50803
1984,13760.05802
1985,14403.57435
1986,10659.49389
1987,11752.5046
1988,11962.2792
1989,13052.70685
1990,15480.98677
1991,14716.70064
1992,14693.73252
1993,14811.37153
1994,15263.24849
1995,15359.16805
1996,17870.46167
1997,17623.5953
1998,15833.23142
1999,17327.35303
2000,23914.98809
2001,23391.58126
2002,22840.7048
2003,25844.7701
2004,32237.22093
2005,42321.31406
2006,50275.34576
2007,54978.27196
2008,66543.93755
2009,43116.11806
