years,data
1970,4170.87624
1971,4648.8311
1972,5067.03503
1973,5905.36382
1974,9344.27918
1975,10706.95399
1976,12963.0902
1977,15601.1443
1978,17491.42267
1979,24204.70528
1980,31547.566
1981,38323.57404
1982,37134.59605
1983,35887.27376
1984,37809.40973
1985,35382.91394
1986,26728.78977
1987,27427.97587
1988,28266.98064
1989,29849.77297
1990,34263.51303
1991,33309.09193
1992,33482.12912
1993,34400.63655
1994,35693.74579
1995,35499.172
1996,43941.49371
1997,44871.55259
1998,37894.21148
1999,41386.46429
2000,60659.04275
2001,57834.85963
2002,53153.64614
2003,67150.53204
2004,80777.50565
2005,98790.40629
2006,113327.7751
2007,123513.7515
2008,148954.2939
2009,90465.58508
