years,data
1970,0.86887
1971,0.92521
1972,0.92981
1973,1.08663
1974,2.28389
1975,2.75639
1976,3.08634
1977,3.40014
1978,3.52047
1979,4.85713
1980,7.19412
1981,8.92651
1982,7.97244
1983,7.45306
1984,7.3158
1985,7.1287
1986,4.06993
1987,4.92179
1988,4.06962
1989,4.92579
1990,5.75349
1991,5.00768
1992,4.7708
1993,4.27488
1994,4.13789
1995,4.55173
1996,5.38895
1997,4.89904
1998,3.31233
1999,4.5778
2000,7.14625
2001,5.81575
2002,5.98212
2003,7.13432
2004,8.93205
2005,12.12762
2006,14.83829
2007,17.06426
2008,24.14007
2009,15.2524
