years,data
1960,334275.9824
1961,352367.216
1962,372450.6338
1963,439972.971
1964,468917.4155
1965,473779.5085
1966,493362.9218
1967,524207.405
1968,556710.2267
1969,581624.6221
1970,584171.0047
1971,617454.8992
1972,677948.8488
1973,731364.8068
1974,743101.5611
1975,726800.177
1976,873632.8443
1977,1011360.364
1978,1077047.127
1979,1183093.074
1980,1241113.625
1981,966246.8151
1982,807960.5748
1983,786595.7179
1984,834412.6067
1985,808150.3376
1986,823399.8556
1987,853533.2242
1988,935529.0946
1989,925113.7299
1990,1024367.984
1991,1018139.254
1992,1093248.441
1993,1059748.574
1994,1100894.214
1995,1052682.719
1996,1203689.587
1997,1300502.997
1998,1225359.685
1999,1225970.795
2000,1202471.087
2001,1118071.384
2002,1106644.288
2003,1188756.637
2004,1281224.165
2005,1198173.218
2006,1502012.962
2007,1442502.806
2008,1282884.166
2009,1137066.227
