years,data
1970,0.42131
1971,0.44811
1972,0.5781
1973,0.52918
1974,1.39186
1975,1.62675
1976,1.48524
1977,1.68906
1978,1.50671
1979,1.96405
1980,2.14605
1981,2.49484
1982,2.81407
1983,3.02304
1984,3.25235
1985,4.02642
1986,1.41816
1987,2.57299
1988,1.82552
1989,2.40939
1990,2.93522
1991,3.00091
1992,1.89598
1993,1.872
1994,2.02258
1995,1.94162
1996,2.07992
1997,2.92555
1998,2.52226
1999,1.80805
2000,3.95526
2001,4.46545
2002,2.07558
2003,5.37354
2004,5.18452
2005,6.902
2006,7.1965
2007,8.68295
2008,8.09538
2009,7.15235
