years,data
1970,30.90228
1971,27.69952
1972,34.99628
1973,51.91491
1974,186.21299
1975,256.19065
1976,250.97142
1977,345.42893
1978,346.20977
1979,605.43257
1980,618.10579
1981,561.94434
1982,537.67262
1983,488.75292
1984,506.35376
1985,547.0324
1986,227.72253
1987,315.79507
1988,252.66731
1989,391.3431
1990,477.31039
1991,509.78069
1992,352.70432
1993,233.34049
1994,240.22156
1995,244.42982
1996,233.61994
1997,371.913
1998,390.7274
1999,198.59707
2000,522.37033
2001,451.7278
2002,209.92992
2003,562.44194
2004,661.05087
2005,974.6084
2006,1084.99652
2007,1609.88396
2008,1314.52839
2009,1017.60847
