years,data
1970,12178.4058
1971,9660.53938
1972,16724.85821
1973,46109.4371
1974,54244.43391
1975,65406.15631
1976,68985.69132
1977,70956.08188
1978,75281.25528
1979,100783.931
1980,81396.66011
1981,156831.98
1982,156430.5644
1983,82010.44313
1984,54329.66136
1985,34434.6574
1986,8371.56167
1987,6275.3014
1988,4915.16019
1989,2135.78236
1990,5721.90872
1991,3670.30672
1992,2236.40165
1993,10197.86658
1994,11521.12277
1995,11448.66654
1996,9717.89047
1997,7250.46509
1998,5379.37863
1999,3970.87423
2000,2521.85564
2001,3262.85404
2002,4968.7297
2003,8452.57589
2004,6235.51858
2005,22225.15566
2006,24658.6616
2007,19608.34537
2008,23412.08103
2009,10129.91913
